,name,headline
94,Children’s Hospital of Wisconsin,Kids deserve the best
95,Christus Health Southeast Texas,We are His hands.
96,Cincinnati Children’s,change the outcome
97,Citizens Medical Center,Community Focused. Quality Healthcare.
98,Clark Memorial Hospital,No one cares like Clark
99,Clay County Medical Center,The heart of healthcare
100,Cleveland County HealthCare System,Exceptional technology. Extraordinary care.
101,Cloud County Health Center,Reaching out to serve
102,Clovis Community Medical Center,Time for Care When It’s Time for Care
103,Colquitt Regional Medical Center,Close to Home. Close to Your Heart.
104,Columbia St. Marys Hospital (WI),A Passion for Patient Care
105,Columbus Community Hospital,Well into the future
106,Columbus Regional Healthcare System,Your Health. Our Mission.
107,Columbus Regional Healthcare System (NC),Well within reach
108,Commonwealth Health,"Together, we are working toward a healthier community"
109,Community Health Systems,The Healthcare System of Opportunity
110,Community Memorial Hospital,The Knowledge to Save Lives. The Location to Save Time.
111,Cone Health,The Network for Exceptional Care
112,Connecticut Children’s Medical Center,Giving children the care they deserve
113,Covenant Health Systems,Our name is our promise
114,Covenant Healthcare,Extraordinary care for every generation
115,Covenant Hospital,Caring for our region’s most precious resource.
116,CrestPoint Health,Improved Care. Greater Value. Better Results.
117,Crittenton Medical Center,Get better here
118,Crouse Hospital,Your care. In our hands.
119,Crozer-Chester Medical Center,Something to feel good about.
120,Cullman Regional Medical Center,"Our focus is on proven, quality care"
121,Dallas County Hospital (IA),Specialized care close to home
122,Dameron Hospital,Your Community Hospital Providing Generations of Caring
123,Dana Farber Cancer Institute,Dedicated to Discovery. Committed to Care.
124,Daughters of Charity Health System,Serving the sick and the poor 
125,DCH Regional Medical Center,Caring. For life.
126,Dean Health System,Partners who care.
127,Deborah Heart and Lung Center,Where Healing Comes From the Heart
128,DeKalb Medical Center,Pushing Beyond
129,Delnor Community Hospital,Quality. Defined.
130,Denton Regional Medical,Care you can trust.
131,Desert Regional Medical Center,The hospital you trust to care for those you love
132,Dickinson Memorial Hospital,Quality and compassion...improving lives
133,Dimensions Healthcare System,The Human Dimension in Medicine
134,Doctors Hospital,Isn't your health worth it?
135,Doctors Hospital of Sarasota,"Together, performing at a higher standard"
136,Dosher Memorial Hospital,The Heart of Your Healthcare
137,DuBois Regional Medical Center,Making the difference for life
138,Duke University Hospital,Extraordinary People. Extraordinary Care.
139,Durham Regional Hospital,We get kids
140,East Tennessee Children's Hospital,Access to quality healthcare
141,Eastern Maine Healthcare Systems,Quality care. Right here.
142,Easton Hospital,"Together, performing at a higher standard"
143,Edward White Hospital,"Innovating, Collaborating, Providing Award-Winning Care"
144,Ellenville Regional Hospital,Technology to heal. Compassion for life.
145,Emanuel Medical Center,Premium Care. Personal Touch.
146,Emerson Hospital,"Your Community, Your Health Care."
147,Englewood Hospital & Medical Center,Improving the Quality of Your Life at Home
148,Enloe Medical Center,The Culture of Care
149,Erie Country Medical Center,We practice what we teach.
150,Erlanger Health System,Excellence every day
151,Evangelical Community Hospital,Exceptional care close to home.
152,Evergreen Hospital Medical Center,Life Excels
153,Excela Health,Leading by example
154,Exempla Healthcare,The Art of Wellness
155,Exeter Health Resources,People you know. Care you trust.
156,Fairfield Medical Center,Care. Attention. Excellence.
157,Fayette County Memorial Hospital,"We're here, for you."
158,FHN Memorial Hospital,Feels like family
159,Field Memorial Community Hospital,The skill to heal. The spirit to care.
160,Florida Hospital – Orlando,Progress lives here
161,Floyd Valley Hospital,Remarkable People. Remarkable Medicine.
162,Forsyth Medical Center,Hearts Plus Minds
163,Fox Chase Cancer Center,"Advanced Medicine, Trusted Care"
164,Franciscan Health System,Growing to Meet Your Needs
165,Franklin County Medical Center,Making a difference today...for a brighter tomorrow
166,Franklin County Memorial Hospital,Advanced medicine. Closer to you.
167,Fremont Area Medical Center,"Here & Now, Every Day."
168,Genesis Healthcare System,The name you know. The doctors you trust.
169,Georgetown University Hospital,Powerful Medicine. Comforting Care.
170,Good Samaritan Health System,"Physicians, hospitals and communities working together to help you live better."
171,"Good Samaritan Hospital (Cleveland, OH)",At the heart of health
172,Good Samaritan Hospital Medical Center,Excellence in Healthcare. Every day.
173,Good Shepherd Medical Center,We go beyond patient care
174,Grace Cottage Hospital,Quality Medical Care - Close to Home
175,Grace Hospital (NC),Clinical Excellence. Compassionate care.
176,Grace Hospital (OH),Atlanta can’t live without Grady
177,Grady Health System,Always Ready
178,Grandview Medical Center,Believe in we
179,Grant Medical Center,You’re the center of everything we do.
180,Grant Regional Health Center,Quality care...close to home
181,Granville Medical Center,"So far advanced, so close to home"
182,Greenwood Leflore Hospital,Putting patients first
183,Griffin Hospital,Well beyond medicine.
184,Group Health Cooperative,Caring to make a difference
185,Grove City Medical Center,Excellence. Right Here.
186,Guadalupe Regional Medical Center,A personal relationship with medical excellence.
187,Gundersen Lutheran Hospital,The expertise you need. The personal care you want.
188,Guthrie County Hospital,Transforming Healthcare in Every Direction
189,Gwinnett Medical Center,Where people come first.
190,Harris County Hospital District,Choose well.
191,Harrison Medical Center,"In special lives, we make a difference."
192,Hacienda HealthCare,A leading partner in a healthier community
193,Halifax Regional Medical Center (NC),Expect the extraordinary
194,Hancock Regional Hospital,Providing community access to quality healthcare
195,Harbor Beach Community Hospital,Improving the lives we touch
196,Harbor Oaks Hospital,More than care...Commitment
197,Harris Hospital,Caring for the health of our communities
198,Harrison County Community Hospital,Unparalleled care. Close to home.
199,Hartford Memorial Hospital,Together in health
200,Hayes Green Beach Memorial Hospital,Bettering the Human Condition
201,HCA Healthcare,Building a Healthy Community One Individual at a Time
202,Health Alliance,Providing exceptional health care on Florida’s Space Coast
203,"Health First, Inc.",Leading hospitals. Trusted care.
204,HealthONE,We’re Henry Ford. We can.
205,Henry Ford Health System,The skill to heal. The spirit to care.
206,Helen Ellis Memorial Hospital,The leader in life care living
207,Heron Point of Chestertown,Your health. Our mission.
208,Herrick Memorial Hospital,Evolving Care...for Life
209,Highlands Hospital,Total Care. Inside and Out.
210,High Point Regional Health System,Changing lives.
211,Hillcrest Medical Center,Extraordinary care
212,Hilton Head Regional Medical Center,Healing begins here.
213,Holy Name Medical Center,Friends caring for friends
214,Hopkins County Memorial Hospital,Where the world comes to get back in the game
215,Hospital for Special Surgery,"Exceptional, Personalized Care"
216,Hudson Hospital and Clinics,A better place to get better
217,Hudson Valley Hospital Center,Research. Education. Treatment.
218,Hughston Clinic,"Quality care, close to home."
219,Humboldt County Memorial Hospital,Close to Home. Far from Ordinary.
220,Hunt Regional Medical Center,Your full circle of care.
221,Hunterdon Healthcare,We are here for you.
222,Huntington Hospital,Community vales. Extraordinary care.
223,Illinois Valley Community Hospital,Our Mission is Life
224,Infirmary Health System,Better Doctors. Better Care.
225,Ingham Regional Medical Center-Greenlawn Campus,Best Outcome for Every Patient Every Time
226,Iowa Health System,"Today, tomorrow, for life"
227,Jackson General Hospital,Caring for you
228,Jackson Park Hospital,Exceptional Environment. Extraordinary Care.
229,Jackson Purchase Medical Center,We Put the CARE in Healthcare
230,Jameson Health System,A century of experience for a new century of healing
231,Jennie Stuart Medical Center,Enhancing life
232,Jersey City Medical Center,The right choice is right here
233,Jersey Community Hospital,Bringing excellence home
234,Jewish Hospital & St. Mary’s HealthCare,Exceptional care. Exceptional people.
235,JFK Medical Center (NJ),Centered in care. Powered by pride.
236,John Peter Smith Hospital,Experts in healing. Specialists in caring.
237,John T. Mather Memorial Hospital,Bringing loving care to health care
238,Johnson City Medical Center,"A tradition of quality, commitment, and caring"
239,Jones Memorial Hospital,Thrive.
240,Kaiser Permanente,Building a healthier future
241,Kaleida Health,The Best Possible Care. The Best Possible People.
242,Kendall Regional Medical Center,"Dedicated to Hope, Healing and Recovery."
243,Kindred Healthcare,We’ll Earn Your Trust
244,Kingsbrook Jewish Medical Center,Be Health Empowered
245,Kish Health System,Keeping LIFE Grand
246,Kremmling Memorial Hospital,"To restore, maintain, and improve health"
247,Lafayette General Health,Healthcare close to home
248,Lake Chelan Community Hospital,Leading the way to better healthcare
249,Lake Cumberland Regional Hospital,We get it.
250,Lake Health,Quality care...right here
251,Lake Wales Medical Centers,Find your true north
252,Lakeview Health System,Your connection to healthcare
253,Lakeview Regional Medical Center,Live what you love
254,Lakewood Manor,Choose well. Be well.
255,Lancaster General Health,Changing and Growing With You
256,Lane Regional Medical Center,Well ahead.
257,Lankenau Hospital,More minds advancing medicine
258,Largo Medical Center,"Communicating, educating, integrating"
259,Las Colinas Medical Center,"Whatever you do, do it well."
260,Laughlin Memorial Hospital,Bringing the future of healthcare.
261,Lawrence & Memorial Hospital,So good. So caring. So close.
262,Lawrence General Hospital,Our legacy is yours.
263,Legacy Health System,A Passion for Better Medicine
264,Lehigh Valley Hospital – Muhlenberg,Culture. Collaboration. Capital.
265,LHP Hospital Group,Enhancing Life
266,Liberty Health,Moving medicine forward
267,Liberty Regional Medical Center,Making communities healthier
268,LifePoint Hospitals,"The technology to heal, the mission to care"
269,Little Company of Mary Hospital & Health Care Centers,The right care...right at home.
270,Livingston Regional Hospital,Higher standards of care every day.
271,Logan Memorial Hospital,Caring for Life
272,Long Beach Medical Center,Excellence in Health Care
273,Long Beach Memorial,Better standards. Better care. Better outcomes.
274,Loretto Hospital,Expertise. Service. Integrity. We get it.
275,Lowell General Hospital,We also treat the human spirit.
276,Loyola University Medical Center,Working for Your Better Health
277,Macon County General Hospital,Life changing medicine
278,Magee Womens Hospital,One patient at a time
279,Magnolia Regional Health Center,Passionate About Medicine. Compassionate About People.
280,Maimonides Medical Center,Well ahead
281,Main Line Health System,Centered around you
282,Maine Medical Center,Better. For you.
283,Martin Health System,Hope at Every Turn
284,Martin Memorial Health Systems,Doing what’s right.
285,Mary Greeley Medical Center,Well being for life
286,McKenna Memorial Hospital,Leading the Way in Medical Excellence
287,McLeod Health,People you know. Care you trust. Always.
288,Meadville Medical Center,Where healthcare and community connect
289,Medical Center Enterprise,Your one source for help
290,Medical Center Health System,World class care right where you need it.
291,Medical Center of Central Georgia,Quality care. Family focused.
292,Medical Center of Lewisville,The city just for kids
293,Medical City Children's Hospital,Changing what’s possible
294,Medical University of South Carolina,Inspired Medicine
295,Memorial Health Care System,Caring for families
296,Memorial Health Care Systems,Excellence in health care
297,MemorialCare Health System,Experience Excellence.
298,Memorial Health University Medical Center,Breakthroughs every day
299,Memorial Hermann Hospital,Excellence. Every Patient. Every Time.
300,Memorial Medical Center,Dedication. Compassion. Innovation.
301,Memorial Hospital,Your partner for a lifetime of good health
302,Memorial Hospital,Partners in building a healthier community
303,Memorial Hospital-Chester,The Best Cancer Care. Anywhere.
304,Memorial Sloan-Kettering Cancer Center,Excellence. Every Day in Every Way.
305,Mercy Capitol Medical Center,Trusted. For Life.
306,Mercy Health,Healing in the broadest sense.
307,Mercy Health System,Focused on You
308,Saint Joseph Mercy Port Huron,Care you can believe in.
309,Mercy Hospital of Defiance,Our mission is to heal. Our passion is to care.
310,Mercy Medical Center,Choose confidently.
311,Mercy Medical Center- Clinton,Your trusted healthcare partner...for life
312,Mercy Medical Center - Mason City,Taking care of New Jersey
313,Meridian Health,Committed to Communities
314,Merit Health Systems,Leading Medicine
315,Methodist Diagnostic Center Hospital,The Meaning of Care
316,Methodist Health System,Providing an Exceptional Patient Experience
317,Methodist Hospital of Southern California,Our mission is your health
318,Methodist Hospital,Leading You to Better Health
319,Methodist Hospitals,We know what a miracle you are
320,Methodist Le Bonhueur Healthcare,We’re committed to delivering outstanding healthcare. Period.
321,Methodist Medical Center of Illinois,Miracles of Hope
322,Metro Health System,The Region’s Leader
323,Miami Valley Hospital,The smarter choice for care
324,Middlesex Hospital,A partner in total health care for a lifetime
325,Millcreek Community Hospital,"Caring for body, mind and spirit"
326,Mille Lacs Health System,Leaders in healthcare. Followers in faith.
327,Mississippi Baptist Medical Center,Together in community
328,Monongahela Valley Hospital,Inspired medicine.
329,Montefiore Medical Center,People You Know. Extraordinary care.
330,Morris Hospital,The passion to lead
331,Morristown Memorial Hospital,Exceptional people. Exceptional care.
332,Moses Cone Health System,Because of you
333,Mount Carmel Health System,Where Healing Begins
334,Mount Sinai Hospital,Bringing Loving Care to Health Care.
335,Mountain States Health Alliance,Where children go to heal & grow
336,Mt. Washington Pediatric Hospital,Better Connected
337,MultiCare,More than a hospital
338,Murray Medical Center,Always Caring. Always Here.
339,Nanticoke Memorial Hospital,With you for life
340,Nascott Rehabilitation,It’s all about how we treat you.
341,Nash Health Care,Together through life.
342,Nassau Healthcare Corporation,"When your child needs a hospital, everything matters"
343,Nationwide Children's Hospital,Serious Medicine. Extraordinary Care.
344,The Nebraska Medical Center,The meaning of care.
345,Nebraska Methodist Hospital,Expertise in motion
346,New England Baptist Hospital,Amazing Things Are Happening Here
347,New York Presbyterian Hospital,Family friendly. First class.
348,Newton Medical Center,Uncommon care
349,Nix Health,Where caring runs deep.
350,North County Hospital,Help to create new beginnings
351,North Mississippi State Hospital,We treat you like family
352,North Ridge Medical Center,"Compassionate Care, Advanced Medicine, Close to Home"
353,NorthBay Healthcare,Providing Quality Mental Health Care Since 1959
354,Northeast Florida State Hospital,Your partner in care...every stage of your life.
355,Northeast Health,The right care...right at home.
356,Northeastern Nevada Regional Hospital,"People you know, caring for people you love."
357,Northern Inyo Hospital,Experience excellence. Experience caring.
358,Northwest Community Healthcare,Passion. Commitment. Experience.
359,Northwest Texas Healthcare,Real People. Remarkable Care
360,"Norton Healthcare, Inc.",You’ll feel at home.
361,Norton Spring View Hospital,Compassion. Expertise. Results.
362,Norwalk Hospital,...Committed to your health
363,Norwegian American Hospital,Our strength is caring. Our focus is you.
364,Noyes Memorial Hospital,Taking healthcare forward
365,Nueterra Healthcare,Making a difference in our community
366,Oakdale Community Hospital,Advancing medicine. Compassionate care.
367,Oaklawn Hospital,Healthcare with peace of mind
368,Ochsner Health System,Helping people feel better
369,Oconee Memorial Hospital,Believe in We
370,OhioHealth,Exceptional care...always
371,Oneida Healthcare Center,"Specialty Medicine with Commitment, Compassion and Care"
372,The Oregon Clinic,"Where Healing, Teaching & Discovery Come Together"
373,Oregon Health and Science University,When it matters most.
374,Orlando Regional Healthcare,Care for your lifetime
375,Oswego Health,Your community safety net for over 50 years
376,Ouachita County Medical Center,"The right care, right here"
377,Ozarks Medical Center,My Community. My Hospital.
378,Palisades Medical Center,Everything you need
379,Palos Community Hospital,Keeping You Well
380,Pardee Hospital,Treated well. Well treated.
381,Parkwest Medical Center,"Healing experiences- for everyone, all the time"
382,Parrish Medical Center,Not Your Ordinary Small Town Hospital
383,Pauls Valley General Hospital,Knowledge of experts. Compassion of neighbors.
384,Peconic Bay Medical Center,Meeting the challenges of an ever-changing healthcare environment
385,Pemiscot Memorial Hospital,Caring people...caring for people
386,Perry Memorial Hospital (OK),Proud to be your hospital
387,Perry Memorial Hospital (IL),Quality health care...with a personal touch
388,Person Memorial Hospital,Get better. Here.
389,Phelps Memorial Hospital Center,Invested in your vision
390,Phoenix Health Systems,The perfect balance between Health & Care
391,Piedmont Hospital,Our Family. Caring for Yours.
392,Pitt County Memorial Hospital,Here for you.
393,Portage Health,Be well.
394,Portneuf Medical Center,Today counts.
395,Presence Health,Solutions for Change
396,Prince William Health System,Redefining care
397,Princeton HealthCare System,Doctor-Driven Wellness and Care Management
398,Privia Health,Your health. Our mission.
399,ProMedica Health System,For life’s most serious illnesses and injuries
400,Promise Hospital of Salt Lake,Working together for your good health
401,Prosser Memorial Hospital,That’s powerful healing.
402,Provena Health,A mission of compassion. A vision of excellence.
403,Providence Healthcare Network,"Serving, Caring, Healing since 1854"
404,Providence Hospital,Making our communities healthier
405,Putnam Community Medical Center,Where your needs become our cares
406,Putnam County Memorial Hospital,We touch lives
407,Raleigh General Hospital,Advancing care every day
408,Raritan Bay Medical Center,Advancing health. Transforming lives.
409,Reading Health System,Strong healthcare. Strong community.
410,Redwood Area Hospital,We believe the heart of healthcare is service to others
411,RegionalCare Hospital Partners,Dedicated to providing quality healthcare
412,Reliable Medical Nursing Services LLC,Achieving better health care one patient at a time
413,Resurrection Health Care Corporation,Chosen for Excellence.
414,Rex Hospital,Safe harbor for your health.
415,River Hospital,Your connection to care
416,Riverside Physician Network,We treat every person like a member of our family.
417,Rockdale Medical Center,"Understand, prevent, and cure cancer"
418,Roswell Park Cancer Institute,Quality health care...connected to you
419,Runnells Specialized Hospital of Union City,Medicine made better
420,Rush Oak Park Hospital,It’s How Medicine Should Be
421,Rush-University Medical Center,High-tech care... hometown touch
422,Rutland Regional Medical Center,A Legacy of Excellence
423,Saint Barnabas Health Care system,Well beyond healthcare.
424,Saint Francis Medical Center,Medical Excellence. Compassionate Care.
425,Saint John Medical Center,Remarkable Medicine. Remarkable Care.
426,Saint Joseph Mercy Hospital,Minds that cure. Hearts that care.
427,Saint Michael’s Medical Center,Confidence for the good life.
428,Salina Regional Health Center,Embrace each moment
429,Samaritan Healthcare & Hospice,Generations of gentle care
430,Samuel Mahelona Memorial Hospital,Embracing the past. Looking toward the future. Together we can heal.
431,Samuel Simmonds Memorial Hospital,Committed to Caring Since 1926
432,Santa Monica UCLA Medical Center,A commitment to community
433,San Antonio Community Hospital,Changing the way you receive healthcare
434,Satilla Regional Medical Center,Trusted compassionate care
435,Sarah Bush Lincoln,"Three facilities, one healthcare system, one vision"
436,Schneider Regional Medical Center,Improving Health in Our Communities
437,SCL Health System Inc.,Excellence is Our Specialty
438,Scotland Health Care System,"Quality care, close to home"
439,Scott Memorial Hospital,The Expect Care You Want
440,Seton Health System,the science of hope
441,Shands Healthcare,Dedicated to caring for our community.
442,Sharon Regional Hospital,Much more than medicine
443,Shawnee Mission Medical Center,Connected for life
444,Shenandoah ValleyWestminster-Canterbury,"Every life, every moment, every day"
445,Sherman Hospital,Love to the rescue
446,Shriners Hospital for Children,Exceptional. Compassionate. Patient-centered care.
447,Singing River Hospital,This is my hospital.
448,Sisters of Charity Health System,A True Devotion to Healing
449,Sisters of Providence Health System,Our mission is to heal. Our passion is to care.
450,Slidell Memorial Hospital,Your hospital for life.
451,Somerset Hospital,Improving your health. And your life.
452,South Baldwin Regional,Your care. Your trust. Our passion.
453,South Central Regional Medical Center,"For expert care, look no further."
454,South Lake Hospital,Redefining Healthcare
455,South Nassau Communities Hospital,"Touching lives, one patient at a time."
456,South Shore Medical Center,Complete health care for your family
457,Southcoast Health System,More than medicine.
458,Southeast Ohio Regional Medical Center,Your community hospital
459,Southeastern Regional Medical Center,I am your Southeastern
460,Southwest Health Center,"With us, it’s always personal"
461,Southwest Memorial Hospital,Where caring and community come together
462,Spartanburg Regional Healthcare System,Your health. Our mission.
463,Spaulding Rehabilitation Hospital Cape Cod,Find your strength
464,Speare Memorial Hospital,More than you expect...
465,Spring View Hospital,Higher standards of every day care
466,Springfield Clinic,Leading the way
467,Springfield Hospital,Where people come first
468,St. Agnes Hospital,"Strong foundation, brilliant future"
469,St. Anthony Medical Center – Crown Point,Amazing technology. Graceful care.
470,St. Anthony’s Medical Center,Advanced Medicine. Compassionate Care.
471,St. Bernards Healthcare (AR),The heart of great medicine
472,St. Elizabeth Hospital (LA),Exceptional high-quality healthcare close to home
473,St. Elizabeth Medical Center (NY),Guided by faith...Committed to excellence
474,St. Francis Health Center,Why St Francis? Quality Matters
475,St. Francis Hospital (WA),In step with a growing community
476,St. Francis Hospitals and Health Centers,Your good health is our greatest achievement.
477,St. Francis Medical Center (MO),Medicine to the highest power
478,St. Francis Medical Center (NE),Well beyond healthcare
479,St. James Hospital and Health Centers,Miracles Made Daily
480,St. James Mercy Hospital,Our community...Our hospital
481,St. John Health System,A Passion for Healing
482,St. John Providence Health System,Believe in better
483,St. John's Riverside Hospital,Life is getting better
484,St. Joseph's Hospital Health Center,A higher level of care
485,St. Joseph’s Hospital of Atlanta,First. Best. Always.
486,St. Jude Children’s Research Hospital,Finding cure. Saving children.
487,St. Luke's Cornwall Hospital,With you for life.
488,St. Luke’s Hospital-MO,Our specialty is you.
489,St. Lukes Episcopal Hospital,"Faithful, Loving Care"
490,St. Mary's Medical Center (PA),It’s your health. Expect more.
491,St. Mary’s Hospital at Amsterdam,Care you can trust
492,St. Peters Hospital,We’re Right Where You Need Us
493,St. Vincent Charity Medical Center,For the Heart of Cleveland
494,St. Vincent Health (AR),Imagine better health
495,St. Vincent Health (IL),The spirit of caring close to home
496,St. Vincent Health System,Inspired.
497,St. Vincent Health System,The region’s only catholic health system
498,Southern Ocean Medical Center,Taking care of New Jersey
499,Stamford Hospital,The regional center for health 
500,Stanly Regional Medical Center,Look no further
501,Starr Regional Medical Center,High standards of care every day
502,Steward Health Care,World class healthcare where you live
503,Stony Brook University Medical Center,Home of the best ideas in medicine.
504,Stormont Vail Regional Health Center,Working together. Working for you.
505,Summit Health,The peak of good health
506,Sumner Regional Medical Center,"Professional service, personal care"
507,Sutter Health,We plus you
508,Swedish Covenant Hospital,The science of feeling better
509,Swift County Benson Hospital,Healthcare close to home
510,T.J. Samson Community Hospital,Your community. Your hospital.
511,Tallahassee Memorial Health Care,Your Hospital for Life
512,Teton Valley Health Care,Your Healthcare Elevated
513,Texas Health,Healing Hands. Caring Hearts.
514,The Menninger Clinic,Advancing treatment. Transforming lives.
515,Thibodaux Regional Medical Center,Patient centered excellence
516,Thorek Hospital and Medical Center,We specialize in you
517,Trident Health System,Better for you
518,TriHealth,"Physicians, hospitals and communities working together to help you live better."
519,Trinity Health System,Your Most Trusted Health Partner for Life
520,TriStar Health System,A family of hospitals for your family.
521,Truman Medical Center Hospital Hill,Better. For everyone.
522,Union Hospital (MD),Putting you first.
523,Uniontown Hospital,We will make a health difference in the lives we touch
524,University Medical Center,Where Compassion and Healing Come Together
525,University of Alabama Hospital,Medicine that touches the world.
526,University of Chicago Medical Center,at the forefront of medicine
527,University of Illinois Hospital & Health Sciences System,Changing medicine. For good.
528,University of Iowa Health Care,Changing Medicine. Changing Lives.
529,University of Michigan Hospitals and Medical Center,The Michigan Difference
530,University of Mississippi Medical Center,Education. Research. Healthcare.
531,University of Rochester Medical Center,Medicine of the Highest Order
532,University of Tennessee Medical Center,Wisdom for Your Life.
533,University of Texas MD Anderson Cancer Center,Making Cancer History
534,University of Texas Medical Branch Hospital,Working together to work wonders
535,University of Virginia Health System,Dedication beyond measure.
536,University Physicians Healthcare,The Future of Healthcare
537,Valdese Hospital,Enhancing Life. Excelling in Care
538,Valley Baptist Health System,Believe in Better Life
539,Valley County Health System,Progressive care with compassion.
540,Vaughan Regional Medical Center,Making communities healthier
541,VCU Medical Center,"Every Day, A New Discovery."
542,Verde Valley Medical Center,"Our Best, Every Day"
543,Via Christi Health,Because Your Life Matters
544,Wabash Valley Hospital,Helping through understanding
545,Wagoner Community Hospital,Expert health care close to home
546,Wahiawa General Hospital,Never out of touch
547,Wake Forest University Baptist Medical,Knowledge makes all the difference
548,Wallace Thomson Hospital,A Union of Compassion + Healthcare
549,War Memorial Hospital,The Right Care is Right Here. 
550,Warren Hospital,Where caring is our calling.
551,Washington Regional Medical Center,Here for you
552,Washington County Regional Medical Center,Dedicated to the Glory of God and Those Who Serve Him.
553,WVU Healthcare,The Highest Quality Healthcare
554,Washington Hospital Center,The Area’s Most Experienced Hospital.
555,Weiss Memorial Hospital,Advanced Healthcare Made Personal
