,name,headline
166,Mackeson Beer,king of the night.
167,Tuborg,Beer YOURSELF
168,Cafe Britt,From our plantation to your cup!
169,Boost (drink),Refresh yourself.
170,Shloer,Get your sparkle!
171,Grey Goose (vodka),The worldâs best tasting vodka.
172,Ballantine's,Play in moderation.
173,Jose Cuervo,Donât let go.
174,Black Velvet (whisky),Feel the Velvet
175,Houghton Wines,Perfect for when friends drop in.
176,Lindeman's,You make me smile.
177,United Breweries,The King of Good Times.
178,Caribou Coffee,Stay awake for it
179,RicorÃ©,Friend RicorÃ©.
180,Colgate,"Stronger, healthier gums."
181,Fanta,"Drink Fanta, stay Bamboocha."
182,Pizza Hut,Make it great.
183,Head & Shoulders,Live head first.
184,Domino's Pizza,Pizza deliver experts.
185,Ben & Jerry's,"Peace, love & ice cream."
186,Heineken,It's all about the beer.
187,Gatorade,The Legend Continues.
188,Milo,MILO Everyday!
189,Starbucks,Customize Your Cup.
190,Audi,Vorsprung durch Technik.
191,NIVEA,More evolved skincare.
192,Snickers,Get some nuts!
193,Nescafe,It all starts with a NescafÃ©.
194,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
195,Levi's Jeans,Original jeans. original people.
196,Lipton,Be more tea.
197,Dove (toiletries),The secret of beautiful hair.
198,Pampers,Discover your babyâs world.
199,Coca-Cola,Taste The Feeling.
200,Horn & Hardart,Less Work for Mother.
201,High Point (coffee),Decaffeinate the ones you love.
202,Guglielmo coffee,the coffee that hits the spot.
203,Postum,There's a Reason.
204,MiO,Flip it. Tip it. Sip it!
205,Gold Spot,The Zing Thing.
206,Frugo,Let's Frugo.
207,Double Diamond Beer,Iâm only here for the beer.
208,Gilbey's gin,Taste the smoothest gin today.
209,Go Fast!,Pure Energy.
210,Haig (whisky),"Donât Be Vague, Ask For A Haig."
211,A Twosome Place,"A cup of coffee, TWO of us"
212,Tiger Energy Drink,Power is back!
213,Um Bongo,The great flavour of the jungle
214,Super Bock,The beer that goes beyond your expectations
215,Bell's whisky,Afore ye go.
216,Irn-Bru,Gets you through.
217,Apollinaris (water),âThe Queen of Table Waters.
218,Licher Brewery,From the Heart of Nature
219,Bitburger Brewery,Bitte ein Bit.
220,Colgate,"Stronger, healthier gums."
221,Fanta,"Drink Fanta, stay Bamboocha."
222,Pizza Hut,Make it great.
223,Head & Shoulders,Live head first.
224,Domino's Pizza,Pizza deliver experts.
225,Ben & Jerry's,"Peace, love & ice cream."
226,Heineken,It's all about the beer.
227,Gatorade,The Legend Continues.
228,Milo,MILO Everyday!
229,Starbucks,Customize Your Cup.
230,Audi,Vorsprung durch Technik.
231,NIVEA,More evolved skincare.
232,Snickers,Get some nuts!
233,Nescafe,It all starts with a NescafÃ©.
234,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
235,Levi's Jeans,Original jeans. original people.
236,Lipton,Be more tea.
237,Dove (toiletries),The secret of beautiful hair.
238,Pampers,Discover your babyâs world.
239,Coca-Cola,Taste The Feeling.
240,Banania,the y'a bon buddy.
241,Nabob (coffee),"Better beans, better coffee, better planet."
242,Carling Black Label,"Hey Mabel, Black Label!"
243,Solo,Game On.
244,Milo,MILO Everyday!
245,Manischewitz,Man-O-Manischewitz What a Wine!
246,National Bohemian,What a beer!
247,Christian Schmidt Brewing Company,One Beautiful Beer.
248,Camp Coffee,Ready aye ready.
249,Luzianne,Take a fresh look at your iced tea.
250,5-hour Energy,Hours and hours of energy.
251,Full Throttle,Feel the energy at work.
252,V Energy,It all starts with V.
253,Relentless (drink),Be Relentless.
254,NOS (drink),You only live NOS.
255,Vault (drink),"Get it done, and then some."
256,Hype Energy Drinks,Feel the Hype.
257,Goodricke tea,The tea people.
258,BOH tea,Share the Ummph!
259,Tavalon Tea,The future of tea.
260,Colgate,"Stronger, healthier gums."
261,Fanta,"Drink Fanta, stay Bamboocha."
262,Pizza Hut,Make it great.
263,Head & Shoulders,Live head first.
264,Domino's Pizza,Pizza deliver experts.
265,Ben & Jerry's,"Peace, love & ice cream."
266,Heineken,It's all about the beer.
267,Gatorade,The Legend Continues.
268,Milo,MILO Everyday!
269,Starbucks,Customize Your Cup.
270,Audi,Vorsprung durch Technik.
271,NIVEA,More evolved skincare.
272,Snickers,Get some nuts!
273,Nescafe,It all starts with a NescafÃ©.
274,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
275,Levi's Jeans,Original jeans. original people.
276,Lipton,Be more tea.
277,Dove (toiletries),The secret of beautiful hair.
278,Pampers,Discover your babyâs world.
279,Coca-Cola,Taste The Feeling.
280,Diet Coke,Light it up!
281,E & J Gallo Winery,The new art of wine.
282,Greene King,Beer to Dine For.
283,Tapal Tea,Differ tastefully.
284,Thums Up,Taste The Thunder.
285,Tropicana,Straight from the fruit.
286,V8 Vegetable Juice,Drink Your Vegetables.
287,Vittoria Coffee,Where our expertise is still a family traditi
288,Cutty Sark (whisky),Live a Cutty above.
289,Dewar's,It never varies.
290,Chivas Regal,This is Chivas Life.
291,Appleton Jamaica Rum,Raise your Rum!
292,Kahlua,Awaken the spirit.
293,Courage Brewery,Take Courage.
294,Kronenbourg,Sit. Savour. 1664.
295,Bass Brewery,A little bit of better.
296,Labatt Brewing Company,Good things brewing.
297,Kokanee beer,Straight from the Kootenays.
298,Old Milwaukee,Taste as great as it's name.
299,Foster's Lager,Australian for beer.
300,Colgate,"Stronger, healthier gums."
301,Fanta,"Drink Fanta, stay Bamboocha."
302,Pizza Hut,Make it great.
303,Head & Shoulders,Live head first.
304,Domino's Pizza,Pizza deliver experts.
305,Ben & Jerry's,"Peace, love & ice cream."
306,Heineken,It's all about the beer.
307,Gatorade,The Legend Continues.
308,Milo,MILO Everyday!
309,Starbucks,Customize Your Cup.
310,Audi,Vorsprung durch Technik.
311,NIVEA,More evolved skincare.
312,Snickers,Get some nuts!
313,Nescafe,It all starts with a NescafÃ©.
314,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
315,Levi's Jeans,Original jeans. original people.
316,Lipton,Be more tea.
317,Dove (toiletries),The secret of beautiful hair.
318,Pampers,Discover your babyâs world.
319,Coca-Cola,Taste The Feeling.
320,Amstel Brewery,Taste life. Pure Filtered.
321,Guinness,Guinness is Good for You.
322,Seattle's Best Coffee,Great coffee everywhere.
323,Saxbys Coffee,Start your day fresh.
324,Tchibo,Passionate about coffee.
325,Brim coffee,Fill it to the rim with Brim.
326,Sanka coffee,One fiddler you won't have to pay.
327,Bombay Sapphire,Pour something priceless.
328,Hendrick's Gin,A most unusual gin.
329,Gordon's Gin,Re-mix yourself.
330,Beefeater Gin,Make it a double.
331,Baileys Irish Cream,The Pleasure Society.
332,Captain Morgan,Enjoy the contradiction.
333,Sauza Tequila,Fun is calling.
334,Wyborowa Vodka,Exquisite wodka.
335,Canadian Club,âNo ordinary Whisky.
336,Arbor Mist,Just what you've been looking for.
337,Aqua Pura,Be the best you can be.
338,Bisleri,The sweet taste of purity.
339,Evan Williams,Aged longer to taste smoother.
340,Colgate,"Stronger, healthier gums."
341,Fanta,"Drink Fanta, stay Bamboocha."
342,Pizza Hut,Make it great.
343,Head & Shoulders,Live head first.
344,Domino's Pizza,Pizza deliver experts.
345,Ben & Jerry's,"Peace, love & ice cream."
346,Heineken,It's all about the beer.
347,Gatorade,The Legend Continues.
348,Milo,MILO Everyday!
349,Starbucks,Customize Your Cup.
350,Audi,Vorsprung durch Technik.
351,NIVEA,More evolved skincare.
352,Snickers,Get some nuts!
353,Nescafe,It all starts with a NescafÃ©.
354,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
355,Levi's Jeans,Original jeans. original people.
356,Lipton,Be more tea.
357,Dove (toiletries),The secret of beautiful hair.
358,Pampers,Discover your babyâs world.
359,Coca-Cola,Taste The Feeling.
360,Jamba Juice,Good tidings we blend.
361,Lyons tea,Puts the talk into tea.
362,Brooke Bond,Cheers your senses.
363,Bushells,"Our tea, our way."
364,Fanta,"Drink Fanta, stay Bamboocha."
365,Sierra Mist,It's that refreshing.
366,Sprite,Obey Your Thirst.
367,Kenco,Growing great coffee and more.
368,Lavazza,Good karma. Great coffee.
369,Moccona coffee,Wake up to something special.
370,Nescafe,It all starts with a NescafÃ©.
371,Melitta,Coffee indulgence.
372,Eight O'Clock Coffee,For Those Who Put Coffee First.
373,Douwe Egberts,No ordinary jar. No ordinary coffee.
374,Gevalia coffee,Let's coffee.
375,Folgers,The best part of wakin' up.
376,Gold Peak Tea,Home brewed taste.
377,Honest Tea,Refreshingly Honest.
378,Lucozade,Lucozade aids recovery.
379,Powerade,The power of love.
380,Colgate,"Stronger, healthier gums."
381,Fanta,"Drink Fanta, stay Bamboocha."
382,Pizza Hut,Make it great.
383,Head & Shoulders,Live head first.
384,Domino's Pizza,Pizza deliver experts.
385,Ben & Jerry's,"Peace, love & ice cream."
386,Heineken,It's all about the beer.
387,Gatorade,The Legend Continues.
388,Milo,MILO Everyday!
389,Starbucks,Customize Your Cup.
390,Audi,Vorsprung durch Technik.
391,NIVEA,More evolved skincare.
392,Snickers,Get some nuts!
393,Nescafe,It all starts with a NescafÃ©.
394,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
395,Levi's Jeans,Original jeans. original people.
396,Lipton,Be more tea.
397,Dove (toiletries),The secret of beautiful hair.
398,Pampers,Discover your babyâs world.
399,Coca-Cola,Taste The Feeling.
400,Yogi Tea,How good can you feel?
401,Celestial Seasonings,Make any moment Celestial.
402,Barry's Tea,Every day should have its golden moments.
403,Clipper tea,Britain's favourite green tea.
404,Dilmah,The finest tea on earth.
405,Kericho Gold,A Matter of Good Taste
406,PG Tips tea,Put the kettle on.
407,Punjana tea,Everyone's cup of tea.
408,Yorkshire Tea,Let's have a proper brew.
409,Red Rose Tea,Red Rose Tea is good tea.
410,Twinings tea,Gets you back to you.
411,Tazo Tea,It begins with tea.
412,Zealong tea,100% pure New Zealand tea.
413,Ten Ren Tea,Ten Ren's. Tea time.
414,Tetley tea,"Make time, make Tetley."
415,Lipton,Be more tea.
416,Badoit,The petillant table water.
417,Vittel,It must be the water.
418,Perrier,Perrier. The ultimate refreshment.
419,Donat Mg,More than magnesium.
420,Fanta,"Drink Fanta, stay Bamboocha."
421,Colgate,"Stronger, healthier gums."
422,Pizza Hut,Make it great.
423,Domino's Pizza,Pizza deliver experts.
424,Ben & Jerry's,"Peace, love & ice cream."
425,Head & Shoulders,Live head first.
426,Heineken,It's all about the beer.
427,Gatorade,The Legend Continues.
428,Milo,MILO Everyday!
429,Starbucks,Customize Your Cup.
430,Audi,Vorsprung durch Technik.
431,Snickers,Get some nuts!
432,NIVEA,More evolved skincare.
433,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
434,Nescafe,It all starts with a NescafÃ©.
435,Levi's Jeans,Original jeans. original people.
436,Dove (toiletries),The secret of beautiful hair.
437,Lipton,Be more tea.
438,Pampers,Discover your babyâs world.
439,Coca-Cola,Taste The Feeling.
440,Naya Waters,Hungry for life. Thirsty for Naya.
441,S.Pellegrino,S. Pellegrino. Live in Italian.
442,Volvic,Filled with volcanicity.
443,Aquafina,Make your body happy.
444,Don Julio,Know your tequila.
445,Olmeca Tequila,Switch on the night.
446,Jameson Irish Whiskey,The spirit of Ireland.
447,Glenfiddich,Single source of inspiration.
448,Stolichnaya vodka,Exquisite wodka.
449,Smirnoff vodka,The greatest name in Vodka.
450,Tree Top,Nurtured from the start.
451,Grolsch Brewery,No Oneâs Ever Changed The World By Being Boaring.
452,Remy Martin,Feel More.
453,Hennessy,Mix accordingly.
454,Martell (cognac),Only a Few Can Tell.
455,Four Roses,America's most gifted whiskey.
456,Maker's Mark,Please enjoy it that way.
457,Jim Beam,Real Friends. Real Bourbon.
458,Wild Turkey (bourbon),Too good to keep cooped up.
459,Rolling Rock,Rolling Rock. Free Flowing.
460,Fanta,"Drink Fanta, stay Bamboocha."
461,Colgate,"Stronger, healthier gums."
462,Pizza Hut,Make it great.
463,Domino's Pizza,Pizza deliver experts.
464,Ben & Jerry's,"Peace, love & ice cream."
465,Head & Shoulders,Live head first.
466,Heineken,It's all about the beer.
467,Gatorade,The Legend Continues.
468,Milo,MILO Everyday!
469,Starbucks,Customize Your Cup.
470,Audi,Vorsprung durch Technik.
471,Snickers,Get some nuts!
472,NIVEA,More evolved skincare.
473,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
474,Nescafe,It all starts with a NescafÃ©.
475,Levi's Jeans,Original jeans. original people.
476,Dove (toiletries),The secret of beautiful hair.
477,Lipton,Be more tea.
478,Pampers,Discover your babyâs world.
479,Coca-Cola,Taste The Feeling.
480,Pilsner Urquell,The world's first golden beer.
481,Boddingtons,It's a bit gorgeous.
482,Beck's,Beck's. Life Beckons.
483,Sapporo,Senses Never Forget.
484,Stella Artois,Reassuringly expensive
485,Paulaner Brewery,"Good, better, Paulaner."
486,Corona,Miles Away From ordinary.
487,Red Stripe,It's BEER. Hooray beer!
488,Castlemaine XXXX,Australians wouldn't give a XXXX for anything
489,Newcastle Brown Ale,The One and Only.
490,St. Pauli Girl,Germany's Fun-Loving Beer.
491,Dos Equis,Let your tastes travel.
492,Bad Frog,The Beer so Good it's Bad.
493,Molson Canadian,It Starts Here.
494,A&W Root Beer,That frosty mug sensation.
495,Coors Brewing Company,It won't slow you down.
496,Three Olives Vodka,Crisp. Clean. Smooth.
497,Snapple,Made from the best stuff on Earth.
498,Schweppes,Schhh! You know who?
499,Canadian Mist,Grip it. Tip it. Sip it.
500,Fanta,"Drink Fanta, stay Bamboocha."
501,Colgate,"Stronger, healthier gums."
502,Pizza Hut,Make it great.
503,Domino's Pizza,Pizza deliver experts.
504,Ben & Jerry's,"Peace, love & ice cream."
505,Head & Shoulders,Live head first.
506,Heineken,It's all about the beer.
507,Gatorade,The Legend Continues.
508,Milo,MILO Everyday!
509,Starbucks,Customize Your Cup.
510,Audi,Vorsprung durch Technik.
511,Snickers,Get some nuts!
512,NIVEA,More evolved skincare.
513,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
514,Nescafe,It all starts with a NescafÃ©.
515,Levi's Jeans,Original jeans. original people.
516,Dove (toiletries),The secret of beautiful hair.
517,Lipton,Be more tea.
518,Pampers,Discover your babyâs world.
519,Coca-Cola,Taste The Feeling.
520,Johnnie Walker,Johnnie Walker. Keep Walking.
521,Maxwell House,Good to the last drop.
522,Starbucks,Customize Your Cup.
523,Miller Beer,"If youâve got the time, weâve got the beer."
524,Juicy Juice,100% juice for 100% kids.
525,RC cola,"Relax, and Enjoy Royal Crown Cola"
526,Skyy Vodka,"Drink dirty martinis, not dirty vodka"
527,Hawaiian Punch,How about a nice Hawaiian Punch?
528,Mountain Dew,Itâll tickle your innards.
529,Absolut Vodka,ABSOLUT PERFECTION.
530,Bacardi,Thirsty for life? Drink Responsibly.
531,Naked Juice,Worth its weight in good.
532,Pepsi,Delicious. Refreshing. Pepsi.
533,Carabao,Free your inner Carabao.
534,Budweiser,The king of beers.
535,7 Up,The Un-cola.
536,Carlsberg,Probably the Best Beer in the World.
537,Typhoo,Typhoo puts the T in Britain.
538,Dr. Pepper,Whatâs the Worst That Could Happen?
539,Red Bull,It Gives You Wiiiings.
540,Fanta,"Drink Fanta, stay Bamboocha."
541,Colgate,"Stronger, healthier gums."
542,Pizza Hut,Make it great.
543,Domino's Pizza,Pizza deliver experts.
544,Ben & Jerry's,"Peace, love & ice cream."
545,Head & Shoulders,Live head first.
546,Heineken,It's all about the beer.
547,Gatorade,The Legend Continues.
548,Milo,MILO Everyday!
549,Starbucks,Customize Your Cup.
550,Audi,Vorsprung durch Technik.
551,Snickers,Get some nuts!
552,NIVEA,More evolved skincare.
553,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
554,Nescafe,It all starts with a NescafÃ©.
555,Levi's Jeans,Original jeans. original people.
556,Dove (toiletries),The secret of beautiful hair.
557,Lipton,Be more tea.
558,Pampers,Discover your babyâs world.
559,Coca-Cola,Taste The Feeling.
560,Coca-Cola,Taste The Feeling.
561,Fanta,"Drink Fanta, stay Bamboocha."
562,Colgate,"Stronger, healthier gums."
563,Pizza Hut,Make it great.
564,Domino's Pizza,Pizza deliver experts.
565,Ben & Jerry's,"Peace, love & ice cream."
566,Head & Shoulders,Live head first.
567,Heineken,It's all about the beer.
568,Gatorade,The Legend Continues.
569,Milo,MILO Everyday!
570,Starbucks,Customize Your Cup.
571,Audi,Vorsprung durch Technik.
572,Snickers,Get some nuts!
573,NIVEA,More evolved skincare.
574,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
575,Nescafe,It all starts with a NescafÃ©.
576,Levi's Jeans,Original jeans. original people.
577,Dove (toiletries),The secret of beautiful hair.
578,Lipton,Be more tea.
579,Pampers,Discover your babyâs world.
580,Coca-Cola,Taste The Feeling.
581,Chupa Chups,Smoke Chupa Chups.
582,Tic Tac,It's not just a mint.
583,Toblerone,Make time for Toblerone.
584,Helms Bakery,Daily at Your Door
585,Lollicup Coffee & Tea,"Add a Little Fun, Mix a Little Flavor"
586,Baker's Dozen Donuts,Not Just Donuts...
587,Dan-D Foods,Fine Foods of the Earth
588,Canyon Creek Food Company,Favorite foods made easy.
589,Wispa,Time Well Mis-spent
590,Cadbury Roses,Roses Grow On You.
591,Picnic (chocolate bar),Deliciously ugly
592,Moro (chocolate bar),Get more go
593,Crunchie,Get that Friday feeling
594,Chomp (chocolate bar),It's a monster chew!
595,Trix (cereal),Trix Are For Kids!
596,Time Out (chocolate bar),âthe wafer break with a layer of Flake.
597,Violet Crumble,It's the way it shatters that matters.
598,Cadbury Creme Egg,It's Hunting Season.
599,Planters,Naturally Remarkable.
600,Chips Ahoy!,Crazy with chips!
601,Fanta,"Drink Fanta, stay Bamboocha."
602,Colgate,"Stronger, healthier gums."
603,Pizza Hut,Make it great.
604,Domino's Pizza,Pizza deliver experts.
605,Head & Shoulders,Live head first.
606,Ben & Jerry's,"Peace, love & ice cream."
607,Heineken,It's all about the beer.
608,Gatorade,The Legend Continues.
609,Milo,MILO Everyday!
610,Starbucks,Customize Your Cup.
611,Audi,Vorsprung durch Technik.
612,Snickers,Get some nuts!
613,NIVEA,More evolved skincare.
614,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
615,Nescafe,It all starts with a NescafÃ©.
616,Levi's Jeans,Original jeans. original people.
617,Dove (toiletries),The secret of beautiful hair.
618,Lipton,Be more tea.
619,Pampers,Discover your babyâs world.
620,Coca-Cola,Taste The Feeling.
621,Fancy Feast,The best ingredient is love.
622,Dolmio,Whenâsa your Dolmio day?
623,Hula Hoops,Best ever flavour.
624,5 (gum),Stimulate Your Senses.
625,Peperami,"All Pork, No Bull."
626,Colman's,"Come on Colman's, light my fire."
627,Boursin cheese,"Some bread, some wine, some Boursin."
628,Butterfinger,better butter finger.
629,Boost (chocolate bar),One Step Ahead.
630,3 Musketeers,Big on Chocolate!
631,Trident (gum),See what Unfolds.
632,Cheetos,Dangerously cheesy.
633,Hostess CupCake,Where's the cream filling?
634,Ouma Rusks,Baked on the original farm.
635,Oreo,Only oreo.
636,Nik Naks,Eat The Freak.
637,Ruffles,Ruffles have RRRidges.
638,Toaster Strudel,Get Zem GÃ¶ing.
639,Tastykake,The Cake That Made Mother Stop Baking.
640,Walkers,Fresh Taste Guaranteed.
641,Fanta,"Drink Fanta, stay Bamboocha."
642,Colgate,"Stronger, healthier gums."
643,Pizza Hut,Make it great.
644,Domino's Pizza,Pizza deliver experts.
645,Head & Shoulders,Live head first.
646,Ben & Jerry's,"Peace, love & ice cream."
647,Heineken,It's all about the beer.
648,Gatorade,The Legend Continues.
649,Milo,MILO Everyday!
650,Starbucks,Customize Your Cup.
651,Audi,Vorsprung durch Technik.
652,Snickers,Get some nuts!
653,NIVEA,More evolved skincare.
654,KFC(Kentucky Fried Chicken),Finger Lickin' Good.
655,Nescafe,It all starts with a NescafÃ©.
656,Levi's Jeans,Original jeans. original people.
657,Dove (toiletries),The secret of beautiful hair.
658,Lipton,Be more tea.
659,Pampers,Discover your babyâs world.
660,Coca-Cola,Taste The Feeling.
661,Branston,Bring out the Branston.
662,Twisties,Life's pretty straight without...
663,Burger Rings,Full on burger flavour.
664,Start (cereal),"I Want, Now I Can."
665,Cocoa Krispies,Can you handle the crunch?
666,Rice-A-Roni,The San Francisco Treat.
667,Life Savers,Still only 5 cents.
668,Golden Crisp,Canât Get Enough of That Golden Crisp.
669,Alpha Bits,They're ice-cream-a-licious!
670,Cheerios,Toasted Whole Grain Oat Cereal.
671,Kix (cereal),Kid-tested. Parent-approved.
672,Grape Nuts,Makes Red Blood!
673,Apple Jacks,We eat what we like.
674,Sugar Puffs,You'll Go Monster-Mad For The Honey.
675,Yorkie (chocolate bar),Itâs Not For Girls.
676,Aero (chocolate),Have you felt the bubbles melt?
677,Tootsie Pop,the center of a Tootsie Pop.
678,A.1. Sauce,Makes beef sing.
679,Rolaids,that's how you spell relief.
680,Jell-O,There's always room for Jell-O.
681,Fanta,"Drink Fanta, stay Bamboocha."
682,Colgate,"Stronger, healthier gums."
683,Pizza Hut,Make it great.
684,Domino's Pizza,Pizza deliver experts.
685,Head & Shoulders,Live head first.
